date,tmax,tmin,prec,source,jd,updated_at
2025-11-10,27.0,9.0,0.0,forecast,314,2025-11-10 09:25:36.642143-03:00
2025-11-11,24.0,16.0,13.2,forecast,315,2025-11-11 09:25:24.106178-03:00
2025-11-12,23.0,11.0,0.0,forecast,316,2025-11-12 09:25:51.557929-03:00
2025-11-13,29.0,9.0,0.0,forecast,317,2025-11-13 09:26:30.307816-03:00
2025-11-14,33.0,14.0,0.0,forecast,318,2025-11-13 09:26:30.307816-03:00
2025-11-15,34.0,19.0,0.8,forecast,319,2025-11-13 09:26:30.307816-03:00
2025-11-16,22.0,10.0,0.0,forecast,320,2025-11-13 09:26:30.307816-03:00
2025-11-17,30.0,9.0,0.0,forecast,321,2025-11-13 09:26:30.307816-03:00
2025-11-18,30.0,16.0,0.0,forecast,322,2025-11-13 09:26:30.307816-03:00
2025-11-19,23.0,10.0,0.0,forecast,323,2025-11-13 09:26:30.307816-03:00
2025-11-20,23.0,8.0,0.0,forecast,324,2025-11-13 09:26:30.307816-03:00
